"location","population","highest_infection_count","percent_population_infected"
"Cyprus","896007","690791","77.09660750418244"
"Brunei","449002","343851","76.58117335780241"
"San Marino","33690","25292","75.07272187592757"
"Austria","8939617","6082343","68.03807142968206"
"South Korea","51815808","34571873","66.72070615978815"
"Faeroe Islands","53117","34658","65.24841387879586"
"Slovenia","2119843","1355872","63.960963146799074"
"Gibraltar","32677","20550","62.8882700370291"
"Martinique","367512","230354","62.67931387274429"
"Luxembourg","647601","391319","60.425941281746006"
"Andorra","79843","48015","60.1367684080007"
"Jersey","110796","66391","59.92183833351385"
"Denmark","5882259","3434977","58.39554157679898"
"Saint Pierre and Miquelon","5885","3426","58.21580288870008"
"France","67813000","38997490","57.507395337177236"
"Iceland","372903","209928","56.29560502329024"
"Guernsey","63329","35326","55.78171138025233"
"Portugal","10270857","5643357","54.9453370833612"
"Liechtenstein","39355","21575","54.82149663321052"
"Niue","1952","1059","54.252049180327866"
"Greece","10384972","5632043","54.232625759607245"
"Singapore","5637022","3006155","53.32877891908174"
"Latvia","1850654","977701","52.83002657438938"
"Guadeloupe","395762","203235","51.352833268479536"
"Israel","9449000","4841558","51.2388400888983"
"Switzerland","8740471","4453465","50.95223129279876"
"Reunion","974062","494595","50.7765419449686"
"Falkland Islands","3801","1923","50.59194948697711"
"Saint Barthelemy","10994","5507","50.09095870474805"
"New Zealand","5185289","2582892","49.81191983706212"
"Georgia","3744385","1862754","49.747929232704436"
"Lithuania","2750058","1366123","49.67615228478818"
"Netherlands","17564020","8636082","49.16916514556463"
"Seychelles","107135","51686","48.24380454566668"
"Bahrain","1472237","696614","47.31670240593056"
"Monaco","36491","17181","47.082842344687734"
"Germany","83369840","38437756","46.10510947364179"
"Estonia","1326064","610335","46.02605907407184"
"Cayman Islands","68722","31472","45.79610605046419"
"Czechia","10493990","4759172","45.351405899948446"
"Italy","59037472","26720158","45.25965813712349"
"Australia","26177410","11836372","45.21597820410805"
"Isle of Man","84534","38008","44.96179052215676"
"Bonaire Sint Eustatius and Saba","27052","11922","44.070678692887775"
"Cook Islands","17032","7324","43.001409112259275"
"Nauru","12691","5393","42.49468127019148"
"Belgium","11655923","4861393","41.70749068949752"
"Aruba","106459","44224","41.54087489080303"
"European Union","450146793","185629180","41.23747694899161"
"Saint Helena","5401","2166","40.10368450286984"
"Montenegro","627082","251280","40.07131443734631"
"Barbados","281646","110592","39.266313031252"
"Marshall Islands","41593","16178","38.8959680715505"
"Saint Martin (French part)","31816","12324","38.73522755846115"
"Puerto Rico","3252412","1252713","38.51643026775206"
"Serbia","6871547","2583470","37.596628532119475"
"United Kingdom","67508936","24920037","36.91368650810909"
"Maldives","523798","186694","35.64236595023272"
"Palau","18084","6332","35.014377350143775"
"Ireland","5023108","1735643","34.55316907380849"
"High income","1250514600","428585687","34.27274555610946"
"Europe","744807803","252520795","33.90415540531065"
"Slovakia","5643455","1877723","33.27257858882546"
"Northern Mariana Islands","49574","16448","33.17868237382499"
"Oceania","45038860","14918328","33.123236245322374"
"Croatia","4030361","1316878","32.67394657699397"
"Wallis and Futuna","11596","3760","32.42497412901"
"French Guiana","304568","98041","32.19018412965249"
"Montserrat","4413","1403","31.792431452526625"
"United States","338289856","103436829","30.57639097519968"
"Guam","171783","52287","30.437819807547896"
"Uruguay","3422796","1037893","30.32295818973728"
"Mongolia","3398373","1011455","29.762918902663127"
"Spain","47558632","13980340","29.396009540392164"
"Bermuda","64207","18860","29.37374429579329"
"Norway","5434324","1507388","27.7382798670083"
"New Caledonia","289959","80064","27.612179652985425"
"Chile","19603736","5399561","27.543530478068057"
"Japan","123951696","33803572","27.27156875691318"
"Finland","5540745","1499712","27.06697384557492"
"Sweden","10549349","2751651","26.08360951941205"
"Tuvalu","11335","2943","25.96382884869872"
"French Polynesia","306292","79302","25.890979849294137"
"United States Virgin Islands","99479","25389","25.521969460891242"
"Mauritius","1299478","327305","25.18742141075109"
"Sint Maarten (Dutch part)","44192","11051","25.00678855901521"
"Anguilla","15877","3904","24.589028153933363"
"Curacao","191173","45883","24.00077416790028"
"Costa Rica","5180836","1230653","23.753946274307854"
"Panama","4408582","1044315","23.688229004246715"
"British Virgin Islands","31332","7392","23.59249329758713"
"Micronesia (country)","114178","26547","23.250538632661282"
"Malta","533293","121418","22.767596799507963"
"Lebanon","5489744","1239904","22.58582549568796"
"Hungary","9967304","2230351","22.37667276928646"
"Argentina","45510324","10131173","22.261263180635673"
"Dominica","72758","16047","22.05530663294758"
"Greenland","56494","11971","21.189860870180905"
"North America","600323657","124543267","20.746020175580053"
"Turkey","85341248","17004714","19.92555112388326"
"Bulgaria","6781955","1329225","19.59943703548608"
"Moldova","3272993","635570","19.418617760563496"
"Qatar","2695131","514524","19.09087164965265"
"American Samoa","44295","8359","18.871204424878655"
"Romania","19659270","3526916","17.940218533038106"
"Belize","405285","71409","17.619452977534326"
"Brazil","215313504","37519960","17.425734709142997"
"Saint Lucia","179872","30252","16.81862657890055"
"North Macedonia","2093606","350583","16.74541437118541"
"Poland","39857144","6662411","16.715726043993516"
"Russia","144713312","24132649","16.676177655307896"
"Armenia","2780472","451831","16.250154650001868"
"Tonga","106867","16958","15.868322307166851"
"South America","436816679","68831603","15.757549175451699"
"Grenada","125459","19693","15.696761491802103"
"Kuwait","4268886","667193","15.629206308156274"
"Malaysia","33938216","5279145","15.555163535997297"
"Jordan","11285875","1746997","15.479499817249437"
"Kosovo","1782115","274279","15.39064538483768"
"Turks and Caicos Islands","45726","6754","14.770590036303197"
"Ukraine","39701744","5533407","13.937440632330913"
"Saint Kitts and Nevis","47681","6607","13.856672469117678"
"Palestine","5250076","703228","13.394625144474098"
"Suriname","618046","82496","13.347873782857587"
"Peru","34049588","4524748","13.288701173124325"
"Mayotte","326113","42027","12.887250738241038"
"Botswana","2630300","330650","12.570809413374901"
"Trinidad and Tobago","1531043","191496","12.507552041320851"
"Bosnia and Herzegovina","3233530","403637","12.482859290001947"
"Canada","38454328","4789387","12.454741115226353"
"Colombia","51874028","6385025","12.308712560358721"
"Vietnam","98186856","11624000","11.838651804881094"
"Albania","2842318","334863","11.781334811938708"
"United Arab Emirates","9441138","1067030","11.30192144209734"
"Cape Verde","593162","64474","10.86954322765113"
"Paraguay","6780745","735759","10.850710357047788"
"Belarus","9534956","994037","10.425187069557532"
"Cuba","11212198","1113662","9.93259305624107"
"Bolivia","12224114","1212131","9.91590065341341"
"Upper middle income","2525921300","245698513","9.727085044177743"
"World","7975105024","775364247","9.722307664496533"
"Antigua and Barbuda","93772","9106","9.710787868446872"
"Tunisia","12356116","1153361","9.334332892310172"
"Saint Vincent and the Grenadines","103959","9674","9.305591627468521"
"Bahamas","409989","38084","9.28902970567503"
"Guyana","808727","74109","9.163660914004355"
"Oman","4576300","399449","8.72864541223259"
"Iran","88550568","7627186","8.613367674840887"
"Pitcairn","47","4","8.51063829787234"
"Azerbaijan","10358078","835327","8.06449806614702"
"Bhutan","782457","62697","8.012836488139284"
"Kazakhstan","19397998","1503687","7.7517638675908715"
"Samoa","222390","17057","7.669859256261523"
"Libya","6812344","507269","7.446320972634382"
"Fiji","929769","69047","7.426253187619721"
"Guatemala","17843914","1250354","7.007173426188896"
"China","1425887360","99351758","6.967714336145038"
"South Africa","59893884","4072673","6.799814485231915"
"Namibia","2567024","172403","6.716064984199602"
"Thailand","71697024","4772632","6.656666809489889"
"Asia","4721383370","301403368","6.383793570230667"
"Eswatini","1201680","75191","6.257156647360363"
"Mexico","127504120","7709747","6.046665001883861"
"Ecuador","18001002","1076089","5.977939450259491"
"Dominican Republic","11228821","661181","5.888249532163706"
"Jamaica","2827382","156812","5.546190787095624"
"Iraq","44496124","2465545","5.541033192014657"
"Honduras","10432858","472786","4.531701667941804"
"Tokelau","1893","80","4.226096143687269"
"Kiribati","131237","5085","3.8746694910734014"
"Vanuatu","326744","12019","3.678414905859021"
"Philippines","115559008","4173631","3.6116881515632255"
"Solomon Islands","724272","25954","3.5834603574347756"
"Morocco","37457976","1279038","3.414594531215461"
"Nepal","30547586","1003450","3.2848749488748474"
"Vatican","808","26","3.217821782178218"
"El Salvador","6336393","201865","3.1858030270534043"
"India","1417173120","45036197","3.1778895862772223"
"Sri Lanka","21832150","672754","3.0814830422106847"
"Sao Tome and Principe","227393","6767","2.9759051509940937"
"Laos","7529477","219025","2.908900578353583"
"Lower middle income","3432097300","97538089","2.8419383389859023"
"Indonesia","275501344","6828969","2.4787425356444"
"Saudi Arabia","36408824","841469","2.3111677542784683"
"Gabon","2388997","49051","2.053204754966205"
"Venezuela","28301700","552695","1.9528685555991336"
"Timor","1341298","23460","1.7490520376530792"
"Zambia","20017670","349625","1.7465818948958596"
"Zimbabwe","16320539","266359","1.63204781410712"
"Lesotho","2305826","36138","1.5672474852829312"
"Djibouti","1120851","15690","1.3998292368923255"
"Mauritania","4736146","63848","1.348100333055611"
"Kyrgyzstan","6630621","88953","1.3415485517872308"
"Bangladesh","171186368","2049850","1.1974376370903552"
"Myanmar","54179312","642044","1.1850353507626674"
"Comoros","836783","9109","1.0885737401452944"
"Equatorial Guinea","1674916","17130","1.0227378567044556"
"Rwanda","13776702","133232","0.9670819619964197"
"Africa","1426736614","13140629","0.9210269695931417"
"Cambodia","16767851","139103","0.8295815605708806"
"Mozambique","32969520","233783","0.709088273047348"
"Pakistan","235824864","1580631","0.6702562966388481"
"Kenya","54027484","344101","0.6368999156059164"
"Algeria","44903228","272023","0.6057983181075535"
"Afghanistan","41128772","233472","0.5676610038344932"
"Senegal","17316452","89076","0.5144009869920235"
"Ghana","33475870","171966","0.5137013616076296"
"Uzbekistan","34627648","175081","0.5056104301395232"
"Gambia","2705995","12626","0.4665936189830358"
"Egypt","110990096","516023","0.46492706880801327"
"Papua New Guinea","10142625","46864","0.46205001170801446"
"Guinea-Bissau","2105580","9614","0.4565962822595199"
"Cameroon","27914542","125156","0.44835412309469386"
"Togo","8848700","39530","0.44673228835874196"
"Malawi","20405318","89168","0.4369841234525235"
"Burundi","12889583","54569","0.4233573731593955"
"Congo","5970430","25218","0.4223816375034964"
"Ethiopia","123379928","501165","0.4061965411424133"
"Uganda","47249588","172149","0.36433968482434176"
"Low income","737604900","2328735","0.3157157714109546"
"Cote d'Ivoire","28160548","88421","0.3139889181133833"
"Angola","35588996","107371","0.3016971875239189"
"Haiti","11585003","34298","0.29605516718467834"
"Guinea","13859349","38572","0.278310330449143"
"Central African Republic","5579148","15440","0.2767447646128047"
"Eritrea","3684041","10189","0.2765712976592823"
"Syria","22125242","57423","0.2595361442826253"
"Nicaragua","6948395","16141","0.23229825017144246"
"Madagascar","29611718","68517","0.23138475113129198"
"Benin","13352864","28036","0.20996244700762323"
"Tajikistan","9952789","17786","0.1787036779338937"
"South Sudan","10913172","18823","0.1724796420325823"
"Somalia","17597508","27334","0.15532881132942233"
"Liberia","5302690","8090","0.15256407596898933"
"Mali","22593598","33164","0.14678494323923086"
"Sudan","46874200","63993","0.13652072995379122"
"Nigeria","218541216","267188","0.12225977547411469"
"Democratic Republic of Congo","99010216","99338","0.100331060786697"
"Burkina Faso","22673764","22122","0.09756650902779089"
"Sierra Leone","8605723","7795","0.09057925754756456"
"Tanzania","65497752","43225","0.06599463138826504"
"Chad","17723312","7702","0.04345688887043234"
"Niger","26207982","9515","0.036305733115964446"
"Yemen","33696612","11945","0.03544866765833907"
"Wales","3170000","0","0"
"Hong Kong","7488863","0","0"
"North Korea","26069416","0","0"
"Turkmenistan","6430777","0","0"
